time, Quad.GPS.X
0.105000,-0.372311
0.205000,0.640109
0.305000,-0.736459
0.404998,0.869541
0.504997,0.180249
0.604996,-0.945538
0.704994,0.887270
0.804993,-0.260556
0.904992,-0.451374
1.004991,-1.572606
1.104996,-0.471489
1.205000,-0.522448
1.305005,0.253095
1.405010,0.471961
1.505014,-0.728463
1.605019,-0.304641
1.705024,0.690456
1.805028,0.975836
1.905033,-0.721652
2.005037,0.024102
2.105030,-0.248274
2.205023,0.656049
2.305015,0.152504
2.405008,0.266556
2.505001,-1.342374
2.604994,-0.123903
2.704986,-0.283169
2.804979,-0.172150
2.904972,-0.307877
3.004965,0.504202
3.104957,-1.534482
3.204950,0.508140
3.304943,-0.528135
3.404936,0.038723
3.504928,0.414733
3.604921,-0.277559
3.704914,0.222895
3.804907,-0.660485
3.904899,-0.184706
4.004892,-1.156897
4.104885,1.426580
4.204878,-0.400920
4.304871,-0.633901
4.404863,-0.234102
4.504856,0.091856
4.604849,1.096966
4.704842,0.315115
4.804834,-0.529824
4.904827,0.161799
5.004820,0.271729
5.104813,-1.176957
5.204805,0.266808
5.304798,0.532039
5.404791,-0.654714
5.504784,-1.064687
5.604776,-2.138412
5.704769,0.067253
5.804762,0.177874
5.904755,0.849695
6.004747,0.550232
6.104740,1.032239
6.204733,-0.651664
6.304726,0.147303
6.404718,0.222861
6.504711,0.972543
6.604704,0.348333
6.704697,-0.939479
6.804689,0.861594
6.904682,0.310117
7.004675,-0.504908
7.104668,-0.248371
