time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073918
0.015000,0.523441
0.020000,-0.426224
0.025000,0.917029
0.030000,-0.295227
0.035000,0.184243
0.040000,-0.567402
0.045000,0.312431
0.050000,-1.082700
0.055000,0.004416
0.060000,0.415210
0.065000,-0.793885
0.070000,0.983582
0.075000,0.610667
0.080000,0.193242
0.085000,0.517155
0.090000,0.792690
0.095000,-0.005429
0.100000,0.871669
0.105000,1.094641
0.110000,0.358305
0.115000,0.097083
0.120000,-0.101843
0.125000,-0.059314
0.130000,-0.968250
0.135000,-0.032088
0.140000,0.097949
0.145000,0.436267
0.150000,0.267083
0.155000,-0.605237
0.160000,0.437544
0.165000,-0.087127
0.170000,0.297346
0.175000,0.859304
0.180000,0.035264
0.185000,-0.676983
0.190000,-0.708492
0.195000,-0.050706
0.200000,0.669516
0.205000,-0.686690
0.210000,-0.520582
0.215000,0.135579
0.220000,-0.764359
0.225000,-0.206037
0.230000,0.059887
0.235000,-0.319542
0.240000,-0.270804
0.245000,-0.555162
0.250000,-0.098723
0.255000,-0.703071
0.260000,0.181342
0.265000,-0.277884
0.270000,-0.415106
0.275000,-0.509515
0.280000,0.089039
0.285000,0.254472
0.290000,-0.516419
0.295000,-0.279271
0.300000,-0.025393
0.305000,-0.306304
0.310000,0.606295
0.314999,-0.013832
0.319999,0.537257
0.324999,0.525474
0.329999,0.599415
0.334999,-0.107941
0.339999,-0.267449
0.344999,-0.043763
0.349999,-0.626341
0.354999,-0.210368
0.359999,0.109940
0.364999,0.479835
0.369999,1.129140
0.374999,0.224391
0.379999,-0.221273
0.384999,-0.677099
0.389999,0.234138
0.394998,0.119363
0.399998,-0.077392
0.404998,-0.885109
0.409998,0.178344
0.414998,-0.284768
0.419998,0.380083
0.424998,0.040682
0.429998,-0.599771
0.434998,-0.378213
0.439998,-0.267159
0.444998,0.003198
0.449998,-1.036341
0.454998,-1.261402
0.459998,-0.005564
0.464998,0.315825
0.469997,-0.607090
0.474997,-0.550269
0.479997,0.842775
0.484997,0.146387
0.489997,-0.667472
0.494997,-0.168789
0.499997,-0.319636
0.504997,0.283538
0.509997,-0.420432
0.514997,0.196291
0.519997,-0.119794
0.524997,0.001874
0.529997,-0.638892
0.534997,0.095865
0.539997,0.392072
0.544997,0.203052
0.549996,-0.607241
0.554996,0.065573
0.559996,-0.486646
0.564996,0.395008
0.569996,-0.877580
